"Query,Intent"
"Can i have a virtual card?,Banking"
"How do I make my transfer go through,Banking"
"When I got cash the exchange rate was wrong,Banking"
"Why was I charged twice for my item!,Banking"
"In what increments can I top-up my card?,Banking"
"My money is back in my account after a seller contacted me stating they never received payment. I am positive it was deducted out of my account. Please get this sorted out right away.,Banking"
"I have exceeded all my PIN tries,Banking"
"If I need to cash foreign transfers, how does that work?,Banking"
"I made a transfer from France a couple days ago and don't see the transaction yet. How long does an international transfer take?,Banking"
"Why do I see a random withdrawal in my app?,Banking"
"I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Banking"
"what are my choices of flights leaving early afternoon from minneapolis to indianapolis,Non-Banking"
"Can you tell me why I can't make any transactions?,Banking"
"Can you recommend a course in operations management?,Non-Banking"
"How do I tell if my top up was reverted?,Banking"
"Can you tell me why my card keeps getting declined every time I try to use it?,Banking"
"show me the flights from boston to san francisco stopping in dallas on american airlines,Non-Banking"
"what is yyz,Non-Banking"
"okay i've got somebody else who wants to take a round trip ticket from charlotte to montreal,Non-Banking"
"Do you accept all cards and currencies?,Banking"
"show me the cheapest flights from san francisco to philadelphia,Non-Banking"
"what are the morning flights from philadelphia to dallas going on american airlines,Non-Banking"
"Where can i exchange between GBP and USD,Banking"
"what is the distance from toronto international airport to toronto,Non-Banking"
"What's going on? My card wont accept any transactions.,Banking"
"Do you know the reason why my card payment was declined?,Banking"
"There are transactions that I don't remember making, i think someone might have gotten my card details and is now using it.,Banking"
"show me all flights on us airlines from boston to oakland california which leave after 11 o'clock am,Non-Banking"
"what's the smallest plane flying from pittsburgh to baltimore on december seventeenth,Non-Banking"
"My card failed to work when I was shopping in a store,Banking"
"what time does flight aa 459 depart,Non-Banking"
"what american airlines flights depart milwaukee for phoenix on saturday or sunday,Non-Banking"
"I need a quick transfer from China. How long would that take?,Banking"
"How can I reset my PIN?,Banking"
"Show me the landing page for Business Risk Analysis.,Non-Banking"
"When can I expect money to be transferred to my account?,Banking"
"list flights from boston to pittsburgh leaving early in the morning on august sixth,Non-Banking"
"If I was travelling abroad, would I be able to hold currencies in euros?,Banking"
"my payment was rejected, do you know why?,Banking"
"list the morning flights between atlanta and dallas,Non-Banking"
"Is topping up with Apple Pay possible?,Banking"
"I sent money to someone but they haven't gotten it, what's going on?,Banking"
"Can I get a second card for free?,Banking"
"Can I auto top if I'm low on funds?,Banking"
"I was charged a transfer fee, why is that?,Banking"
"Disable your voice responses. Hello, need some assistance,Non-Banking"
"There is unexpected money in my account.,Banking"
"what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover,Non-Banking"
"Would you please unblock my pin? I don't know why, but it's blocked.,Banking"
"In a recent withdrawal I received less cash than I expected to receive. Did someone make an error with the exchange rate?,Banking"
"Turn off speaking replies. What's the difficulty level of the Information Technology Database Administration course?,Non-Banking"
"I want answers by voice. How do I find out about new courses added to the platform?,Non-Banking"
"show me the flights from philadelphia to dallas with one stop,Non-Banking"
"what round trip flights between atlanta and denver qualify for fare code qx,Non-Banking"
"I tried topping off my account with a card, but the money is not in my account despite the charge going through,Banking"
"Can it automatically top up my account?,Banking"
"The exchange rate from my card payment isn't right.,Banking"
"flight from washington dc to salt lake city,Non-Banking"
"I want verbal replies.,Non-Banking"
"i need to fly from atlanta to charlotte north carolina next monday,Non-Banking"
"list all flights from minneapolis to long beach on saturday,Non-Banking"
"show me next wednesday's flights between phoenix and milwaukee,Non-Banking"
"How long do transfers take to show up in my account?,Banking"
"why have I got a pending transfer? I'm confused!!,Banking"
"WHAT IS THE SOLUTION OF THIS PROBLEM,Banking"
"on july twenty third an early flight on american from philadelphia to san francisco,Non-Banking"
"I still don't have a refund.,Banking"
"Can I exchange my money for EUR?,Banking"
"There's a weird payment showing in my app that I definitely haven't made myself, as I haven't used the card at all that day. Please cancel that and return my money.,Banking"
"is it free to add money to my card,Banking"
"us air next wednesday from cleveland to miami,Non-Banking"
"Can you accept my other card from the U.S.? It is the only other one I have.,Banking"
"I would like to return my purchases,Banking"
"Could not complete transfer, states 'declined',Banking"
"show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm,Non-Banking"
"What are the limitations on the disposable cards?,Banking"
"My payment came back for something i'm trying to buy online? it's been doing it for two weeks. do you know what the issue is?,Banking"
"do i need to add money before i order a card,Banking"
"find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver,Non-Banking"
"i need flights that arrive in baltimore from pittsburgh,Non-Banking"
"what airport in new york is closest to downtown,Non-Banking"
"are there any flights from boston to san francisco which stop in denver,Non-Banking"
"Hello, can we talk?,Non-Banking"
"The volunteer lost her balance carrying plasma bags.,Non-Banking"
"I haven't used my card all day but there is a payment showing in the app. Please cancel it!,Banking"
"I am still waiting for a the cash I deposited this morning,Banking"
"what ground transportation is there in atlanta,Non-Banking"
"my question is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight,Non-Banking"
"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?,Banking"
"show me all flights arriving at love field from other airports,Non-Banking"
"please give me information on a flight on april seventeen from philadelphia to boston as early as possible,Non-Banking"
"list all flights from long beach to columbus on sunday,Non-Banking"
"Navigate to the page for Managerial Accounting.,Non-Banking"
"Why is there a fee on my money transfer?,Banking"
"I prefer text replies. Can you suggest any courses in music and arts?,Non-Banking"
"What is my source of funds?,Banking"
"yes i need a flight from denver to pittsburgh on july seventh,Non-Banking"
"show me ground transport in seattle,Non-Banking"
"What is the reason my cash withdrawal is still pending?,Banking"
"i'd like the lowest fare from denver to pittsburgh,Non-Banking"
"i want to see the cheapest flights from denver to atlanta,Non-Banking"
"what are the flights on january first 1992 from boston to san francisco,Non-Banking"
"I bought something online a week ago and i never got it in the mail.Can I just get my money back now I don't want to keep waiting on something that isn't going to show up.,Banking"
"Can you help me find a good daycare?,Non-Banking"
"Can I get a new card with new expiration date in China?,Banking"
"how many daily us air flights are there between philadelphia and pittsburgh,Non-Banking"
"flights from pittsburgh to baltimore arriving between 4 and 5 pm,Non-Banking"
"My card was refused,Banking"
"what's the earliest flight from boston to bwi that serves dinner,Non-Banking"
"I bought an item then noticed the exchange rate was wrong.,Banking"
"I want to find a course in business, do you have any suggestions?,Non-Banking"
"I was trying to make a transfer and got an error message telling me it was not possible to make the transfer. This has never happened before, what happened?,Banking"
"Are cards delivered to my location?,Banking"
"My transfer didn't complete. Why can't I access funds?,Banking"
"what are the cheapest flights from pittsburgh to atlanta,Non-Banking"
"I need urgent help. I realize I sent my payment to the wrong account number. I made a typo. Please cancel the transfer immediately. I cannot do anything from the app.,Banking"
"Yo,Non-Banking"
"can you show me the available flights from baltimore to dallas with economy fares,Non-Banking"
"I hope you can help me. Someone has stolen my wallet and now I have noticed that they have been taking money from my account.,Banking"
"Can you help me find a good real estate agent?,Non-Banking"
"i'm trying to make a connection between denver and san francisco does delta airline fly between those two,Non-Banking"
"show me continental flights leaving chicago on saturday morning,Non-Banking"
"Is there a way to top up using my Apple Watch?,Banking"
"is there a flight tomorrow morning from columbus to nashville,Non-Banking"
"Best power banks under 1000 rupees?,Non-Banking"
"what is the last flight from san francisco to boston this wednesday,Non-Banking"
"what're the flights from memphis to las vegas that arrive on a sunday,Non-Banking"
"How do I change to AUD from GBP?,Banking"
"can you give me the latest flight from atlanta to denver on july seventh,Non-Banking"
"I no longer need AUD, I need GBP instead, how can I make this happen?,Banking"
"How do I know it is a Mastercard ATM?,Banking"
"listing of all first class flights from washington to san francisco,Non-Banking"
"list all flights from chicago to seattle on continental airlines which depart on saturday before noon and include a meal,Non-Banking"
"Can you recommend a good home improvement show?,Non-Banking"
"How do I know if my top-up went through?,Banking"
"show me economy fares from dallas to baltimore,Non-Banking"
"all flights leaving washington dc to san francisco that are first class,Non-Banking"
"Turn off your speaking replies. Could you describe the skills covered in the Computer Science Cybersecurity course?,Non-Banking"
"Open the page for Managerial Economics and Strategy.,Non-Banking"
"fares and flights from denver to philadelphia,Non-Banking"
"I have no idea why there is a dollar that has been charged to my account.,Banking"
"What's the procedure for getting a card?,Banking"
"For my account, how do I transfer money in?,Banking"
"please show me fares from denver to san francisco,Non-Banking"
"what are the flights from kansas city to burbank on saturday may twenty two on southwest,Non-Banking"
"i would like to book on delta airlines their earliest possible flight from washington dc to san francisco,Non-Banking"
"Can you text me your responses?,Non-Banking"
"Why was I not able to take cash from the ATM?,Banking"
"what is the cheapest flight from san francisco to pittsburgh on sunday,Non-Banking"
"what delta flights are available to fly from philadelphia to boston,Non-Banking"
"I did not have the right exchange rate applied to my situation of pulling out cash,Banking"
"What do people call you?,Non-Banking"
"Can you respond in text?,Non-Banking"
"Can I set automatic top ups?,Banking"
"please show me flights from philadelphia to baltimore between 10 am and 2 pm,Non-Banking"
"what nonstop flights between atlanta and washington leave atlanta after 6 o'clock pm,Non-Banking"
"i want to leave boston at 838 and arrive in denver at 1110 in the morning,Non-Banking"
"show me morning flights from atlanta to philadelphia,Non-Banking"
"Can you provide information about the Math and Logic Mathematical Modeling course difficulty level?,Non-Banking"
"what are the flights from boston to washington,Non-Banking"
"How do I find a good lawyer?,Non-Banking"
"what does the meal code s stand for,Non-Banking"
"Is the verification number on the top up card,Banking"
"Can you help me find a good contractor?,Non-Banking"
"flights from newark to cleveland,Non-Banking"
"i would like a flight between boston and atlanta on any day at one in the afternoon,Non-Banking"
"from phoenix to las vegas on saturday,Non-Banking"
"How do I prepare for a marathon?,Non-Banking"
"Answer me with text, not voice. Can you describe the difficulty level of Graphic Design Software Basics?,Non-Banking"
"flights from atlanta please,Non-Banking"
"Do the disposable cards have restrictions?,Banking"
"There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,Banking"
"please give me ground transportation information between dallas fort worth airport and downtown dallas,Non-Banking"
"How long until transfers complete?,Banking"
"When I look at my statement there is an extra fee, that is for what?,Banking"
"How do I learn to paint?,Non-Banking"
"How do I make a YouTube video?,Non-Banking"
"i would like the flight from atlanta to denver that has the cheapest one way fare,Non-Banking"
"The top-up card is verified how?,Banking"
"ground transportation in oakland,Non-Banking"
"what is the price of a first class ticket from atlanta to san francisco,Non-Banking"
"Can I access the courses offline?,Non-Banking"
"Can you provide information about the Math and Logic Probability and Statistics course difficulty level?,Non-Banking"
"what are the flights from cleveland to indianapolis for wednesday the twelfth,Non-Banking"
"what is ewr,Non-Banking"
"I'd like more info on getting a virtual card.,Banking"
"does midwest express have any flights,Non-Banking"
"I have a transfer that is pending.,Banking"
"Can I get a transcript of my completed courses?,Non-Banking"
"what flights can i find from pittsburgh to san francisco after 9 am,Non-Banking"
"Why wouldn't the ATM give me cash?,Banking"
"Are there any community programs providing support for course materials?,Non-Banking"
"how can i transfer money from american express card,Banking"
"Where do I register to donate at a blood bank?,Non-Banking"
"I want to get a Visa,Banking"
"What are the symptoms of the flu?,Non-Banking"
"How can receive a physical card,Banking"
"are there any flights on us air from pittsburgh to atlanta on wednesday,Non-Banking"
"Can you tell me why my transfer declined?,Banking"
"what is the price of a one way fare from boston to denver on continental airlines,Non-Banking"
"What's the best way to learn a new language?,Non-Banking"
"how far is downtown from the airport in dallas,Non-Banking"
"I can't see a transfer to my account I made.,Banking"
"It's not letting me transfer money to my beneficiery.,Banking"
"Can you give text responses? Break down your functions.,Non-Banking"
"Can I quickly send a transfer from China? How long will it take?,Banking"
"Why did I not get the amount I specified at the ATM?,Banking"
"My card payment says pending and it hasn't changed,Banking"
"What are the fees associated with top up via transfer?,Banking"
"please list all flights from philadelphia to boston,Non-Banking"
"I couldn't make a transfer because it was declined,Banking"
"Use your voice to respond to me.,Non-Banking"
"What's the best way to boost my immune system?,Non-Banking"
"Disable verbal answers. Open the landing page for Supply Chain Strategy.,Non-Banking"
"What initiatives exist for promoting career and technical education?,Non-Banking"
"what types of ground transportation are available in denver,Non-Banking"
"I want to change my PIN.,Banking"
"I got cash and the exchange rate should have been different than it ended up being.,Banking"
"find a flight from boston to washington on monday,Non-Banking"
"I don't recognize some transactions. Is someone else using it?,Banking"
"and flight from oakland to boston leaving after midnight,Non-Banking"
"what airlines fly into salt lake city,Non-Banking"
"The exchange rate is bad. Are you sure this is the exchange rate?,Banking"
"show me all flights from new york to miami leaving on a tuesday and returning on sunday,Non-Banking"
"Can you recommend resources for understanding education policy implementation challenges?,Non-Banking"
"what flights from pittsburgh to newark after 1020 pm,Non-Banking"
"how many airlines fly from new york to los angeles by way of milwaukee,Non-Banking"
"Do i have to top-up with my credit card before I can transfer?,Banking"
"Why is there a €1 charge on my statement?,Banking"
"My card payment has been declined,Banking"
"please list the flights from kansas city to denver,Non-Banking"
"Where can I use this card?,Banking"
"I tried to withdraw 50 pounds but it only gave me 30. Where is the rest of my money?,Banking"
"what is the cheapest fare from boston to san francisco,Non-Banking"
"what is the cheapest round trip flight from atlanta to pittsburgh,Non-Banking"
"Can I use my apple watch to top-up?,Banking"
"what is the latest flight from washington dc to denver,Non-Banking"
"Why do I have a transaction showing multiple times?,Banking"
"what is the minimum connection time for houston intercontinental,Non-Banking"
"show me all flights from san diego to dulles on boeing 767,Non-Banking"
"Why can't I take money from my account?,Banking"
"What's the problem? My card keeps getting declined for top up. I need to know what is going on.,Banking"
"Can i top up by card?,Banking"
"give me flights that arrive in baltimore from denver,Non-Banking"
"When I received my cash; they had my exchange rate incorrect.,Banking"
"Can you recommend a good workout routine?,Non-Banking"
"I'd like to get another card,Banking"
"which delta flights depart from san francisco heading toward boston after 12 noon,Non-Banking"
"What is the charge for sending out more cards?,Banking"
"what is the cheapest one way fare from san francisco to boston on wednesday august twenty first,Non-Banking"
"I was charged twice for the same purchase!,Banking"
"How much longer do I have to wait until my transaction is complete? I transferred money to another country many hours ago and the transaction is still pending.,Banking"
"need a flight from pittsburgh to denver,Non-Banking"
"list all day time flights from pittsburgh to boston,Non-Banking"
"Hello,Non-Banking"
"i want a flight from denver to atlanta,Non-Banking"
"I would like to delete my account. I'm not happy with the service you're providing,Banking"
"There is a direct debit payment that I did not make.,Banking"
"I don't think that my top-up worked.,Banking"
"I'm waiting for my transaction to complete.,Banking"
"where do I top up my google pay?,Banking"
"Has my top up gone through?,Banking"
"I don't see a money transfer yet,Banking"
"i need to fly from baltimore to dallas on tuesday evening,Non-Banking"
"i would like information on flights from dallas fort worth to atlanta on wednesday morning,Non-Banking"
"How do I access my saved notes?,Non-Banking"
"I require verification of my source of funds.,Banking"
"What does it mean when a transfer is ""pending""?,Banking"
"I want a refund on this.,Banking"
"Type your replies instead.,Non-Banking"
"What are the maximum amount you can do for auto top-up?,Banking"
"Who can send me money?,Banking"
"If I exchange foreign currency, are there any other charges?,Banking"
"Where's my top up code?,Banking"
"can you list the earliest flights from oakland to salt lake city on thursday,Non-Banking"
"i would like to travel from denver to pittsburgh,Non-Banking"
"I dont know what happened, but my payment was cancelled,Banking"
"So I just went to the ATM to get some cash. I input that I needed 100 pounds but I only got 80. I have the receipt and I am in need of the extra money. How do I go about obtaining the missing amount?,Banking"
"Switch on sound responses. Open the page for Marketing Management for Nonprofit Organizations.,Non-Banking"
"what is american's last flight from boston to washington dc on july twenty first,Non-Banking"
"I am missing my refund.,Banking"
"Explain your range of capabilities.,Non-Banking"
"My card payment is just showing up as pending and it has been a while , what's going on with that, it should be going through at some point?,Banking"
"what flights are available wednesday morning from boston to denver,Non-Banking"
"Hi there, what's your name?,Non-Banking"
"oh let's see does eastern airline have a flight from atlanta to washington,Non-Banking"
"How can you assist on verifying my identity?,Banking"
"How do I use a check to top up?,Banking"
"Could you describe the skills covered in the Computer Science Computer Networks course?,Non-Banking"
"i would like a flight from philadelphia to dallas on american airlines,Non-Banking"
"Display the landing page for Business Process Outsourcing.,Non-Banking"
"My statement shows an extra fee - what is it?,Banking"
"Why can't I transfer money to a beneficiery?,Banking"
"I don't see the transaction I made to a friend on my account.,Banking"
"what type of aircraft leaving philadelphia to dallas,Non-Banking"
"It's only been a few weeks my my top-up got cancelled,Banking"
"if i found a lost card can i put it back in app,Banking"
"Which part of the app do I order virtual cards from?,Banking"
"Why is top up not working for my apple pay app,Banking"
"For some reason I am unable to preform a transfer to a beneficiary.,Banking"
"Hey, need some advice,Non-Banking"
"Where can I get your exchange rates from?,Banking"
"what is the first class fare on united flight 352 from denver to boston,Non-Banking"
"yes i would like to find what flights are available from atlanta to boston on the morning of july seventh,Non-Banking"
"what's a flight that goes from baltimore to seattle,Non-Banking"
"I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,Banking"
"Turn off voice mode and type.,Non-Banking"
"Switch off audio mode. Hi, can we talk?,Non-Banking"
"is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991,Non-Banking"
"How do I access the discussion forums?,Non-Banking"
"What's the best way to organize a pantry?,Non-Banking"
"Talk back to me with sound.,Non-Banking"
"How would you rate the Data Visualization with Python course?,Non-Banking"
"list all nonstop flights on wednesday from baltimore to newark before noon,Non-Banking"
"does midwest express have any flights from montreal to detroit,Non-Banking"
"please list the flights from new york to los angeles,Non-Banking"
"Someone used my card without my permission.,Banking"
"Why did you charge me extra?,Banking"
"Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on?,Banking"
"Describe your supported actions.,Non-Banking"
"what types of aircraft can i get a first class ticket from philadelphia to dallas,Non-Banking"
"Hi, what name are you feeling today?,Non-Banking"
"How do I get to the virtual cards?,Banking"
"When will my deposit from this morning show up?,Banking"
"There were a couple of payments that I have noticed on my account with my card that I didn't make. Is it possible that somebody else has my card information?,Banking"
"What's the wait time for European transfers?,Banking"
"Good afternoon,Non-Banking"
"I tried entering my pin several times incorrectly. Why isn't my pin working?,Banking"
"i'd like to fly early tomorrow from columbus to minneapolis,Non-Banking"
"What is the status of my card's delivery?,Banking"
"show all flights from pittsburgh to san francisco on july twenty eighth 1991,Non-Banking"
"i need flight information between atlanta and boston,Non-Banking"
"Your ATM pin can be changed at any VISA or MasterCard ATM with PIN services. Certain countries don't support ATM pin changes.,Banking"
"What is the process to change my PIN?,Banking"
"Why is my disposable card not working?,Banking"
"What are the policies regarding educational assistance for individuals with disabilities?,Non-Banking"
"i'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i'd say about mealtime,Non-Banking"
"find me a flight from boston to san francisco with layover in denver on united,Non-Banking"
"please show me the philadelphia to denver saturday flights again,Non-Banking"
"i need a flight from cincinnati to san jose leaving after 6 in the evening,Non-Banking"
"i would like to book a flight from baltimore to newark early in the morning on april ninth,Non-Banking"
"Can you suggest a course in urban planning?,Non-Banking"
"My cash withdrawal was declined. Why?,Banking"
"what is the earliest flight departing san francisco and arriving in oakland on november eighth,Non-Banking"
"show me the flights leaving from atlanta for washington dc on thursday morning,Non-Banking"
"Is there a problem with my account? When I tried to withdraw cash at an ATM I was denied.,Banking"
"list all the arriving flights at general mitchell international,Non-Banking"
"what flights leave boston and arrive in philadelphia before 7 am,Non-Banking"
"is there an airport limousine at the atlanta airport,Non-Banking"
"on monday show me flights from baltimore to dallas,Non-Banking"
"My salary is received in the form of GBP. Is it necessary to configure this? If so, where is this done?,Banking"
"Is there a limit for top ups?,Banking"
"Turn on speaking answers.,Non-Banking"
"Do you convert to Euro?,Banking"
"what's the lowest round trip fare from denver to atlanta,Non-Banking"
"My app says I withdraw funds from my account through an ATM.,Banking"
"Disable audio for answers. Display the course overview for Business Decision Making Strategies.,Non-Banking"
"is there an early morning delta airlines flight between boston and washington,Non-Banking"
"i dont recognise some of these transactions, i think someone has my card details,Banking"
"can you tell me the latest evening flight from atlanta to denver on july seventh,Non-Banking"
"Turn on text replies only.,Non-Banking"
"My salary is in GBP - what should I do?,Banking"
"I made an ATM withdraw it didn't give me the amount I asked for but is showing a withdraw for that amount.,Banking"
"Can you share the difficulty level of the Chemical Engineering Principles course?,Non-Banking"
"I don't understand why my card payment is pending. It has been pending for too long. Why is this and when might it go through?,Banking"
"lowest fare from san francisco to san diego,Non-Banking"
"The rate applied to my foreign currency at an ATM was incorrect.,Banking"
"How long before a check I send clears?,Banking"
"i'd like a flight from washington that stops in denver and goes on to san francisco,Non-Banking"
"show last flight from philadelphia to boston,Non-Banking"
"How do i set up auto top-up?,Banking"
"show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon,Non-Banking"
"list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,Non-Banking"
"what is fare code fn,Non-Banking"
"Hi, hope you’re well,Non-Banking"
"How do I receive more physical cards,Banking"
"I see cash withdrawal activity in the app that is not mine.,Banking"
"Can you suggest a course for learning graphic design?,Non-Banking"
"show me the flights from salt lake city to milwaukee,Non-Banking"
"Is there such thing as top up by cheque?,Banking"
"Hi i received an error message informing me about the transaction failure. I have done the money transfer before and it never failed. Please let me know what is the issue this time.,Banking"
"flights between new york and san jose,Non-Banking"
"What documents do I need to get together to verify my identity?,Banking"
"I want a reason as to why my beneficiary is not allowed?,Banking"
"Open the page for Business Strategy and Competitive Advantage.,Non-Banking"
"How do i authenticate a top-up card?,Banking"
"Hello, anyone around to chat?,Non-Banking"
"Which skills will I learn in the Spanish Language Learning course?,Non-Banking"
"I would like to change currency,Banking"
"show me round trip fares from pittsburgh to philadelphia,Non-Banking"
"I entered in the wrong PIN. Please help me unlock my account.,Banking"
"Does this app have the same exchange rate as third parties?,Banking"
"Was my transaction reverted with my card?,Banking"
"My wallet was stolen and all my credit cards were in there. HELP?!!?,Banking"
"what afternoon flights are available from atlanta to san francisco,Non-Banking"
"show morning flights from philadelphia to dallas,Non-Banking"
"My credit card for was not approved for a top-up transaction. What happened?,Banking"
"I did a transfer but the balance is the same.,Banking"
"show me the flights from boston to pittsburgh on wednesday or thursday,Non-Banking"
"show me flights from pittsburgh to atlanta on monday afternoon,Non-Banking"
"Can you recommend resources for understanding education policy evaluation?,Non-Banking"
"Deactivate voice answers.,Non-Banking"
"which airlines fly from toronto to san diego and have a stopover in denver,Non-Banking"
"What is the reason for the extra fee on my statement?,Banking"
"Are there crocodiles near the river bank in this area?,Non-Banking"
"Access the course details for Supply Chain Management.,Non-Banking"
"flights from denver to seattle on saturday morning on continental,Non-Banking"
"Please, I need your help as to whether or not you have money for a large refunded purchase I made. I requested it some time ago from the seller, but nothing is showing up.,Banking"
"i want a flight on twa from boston to denver,Non-Banking"
"Why won't my card accept any transactions?,Banking"
"I am interested in giving a second card to my daughter, how can I make this happen?,Banking"
"What's taking so long for this payment to go through?,Banking"
"The ATM sucked my card in.,Banking"
"Good day, in reviewing my credit card activity over the last several days, I see a repeated charge for a restaurant that I went to. The charge was put through twice, so I would like one of the charges corrected and the amount that was withdrawn to be reinstated please.,Banking"
"Why am I not seeing the check I deposited this morning in my account?,Banking"
"show me a list of ground transportation at denver,Non-Banking"
"Tell me how a top up would be reverted.,Banking"
"Hey, are you there?,Non-Banking"
"What are the community guidelines?,Non-Banking"
"show me the airlines that fly from san francisco to boston,Non-Banking"
"What should I do if I think someone is using my card without my permission?,Banking"
"I noticed that there is a withdrawal in the app that is not mine.,Banking"
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?,Banking"
"What exactly is the exchange fee?,Banking"
"There's a card payment with a name I don't recognize,Banking"
"list all flights going from boston to atlanta before 7 o'clock am on thursday,Non-Banking"
"list all united flights from boston to san francisco with fare code qx,Non-Banking"
"I took out money and there is a fee. Why?,Banking"
"flights from nashville to seattle,Non-Banking"
"Turn on audio replies. What's the rating for Financial Management for Entrepreneurs?,Non-Banking"
"My card payment might have been reverted.,Banking"
"what are the flights from chicago to indianapolis,Non-Banking"
"The disposable cards, what are they for?,Banking"
"Disable sound replies. Take me to the course description for Business Innovation.,Non-Banking"
"I got some cash in the ATM but its still pending,Banking"
"what flights are there from pittsburgh to los angeles,Non-Banking"
"I am missing a refund amount on my account.,Banking"
"i want to fly from boston to san francisco via dallas fort worth on american airlines,Non-Banking"
"Is there a limit to using a disposable virtual card?,Banking"
"Do I need to pay more for exchanging currencies?,Banking"
"i'd like information on a flight from atlanta to denver a morning flight,Non-Banking"
"Can I use my apple watch to top up?,Banking"
"I need more physical cards than I have right now!,Banking"
"How do I get rid of ants?,Non-Banking"
"Is it possible to get both a Visa and a Mastercard?,Banking"
"I've been waiting a while for my card, is there a way to know when it will arrive?,Banking"
"Why did I get a different card then requested?,Banking"
"how much does it cost to fly from boston to atlanta,Non-Banking"
"are there any nonstop flights from philadelphia to denver that arrive before 5 pm,Non-Banking"
"What's the phone number to freeze a card?,Banking"
"i want a flight from long beach to st. louis that stops in dallas,Non-Banking"
"i'm going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying,Non-Banking"
"show me flights from minneapolis to seattle on july second,Non-Banking"
"There has been a charge pending on my account statement that I can't figue out it's for a dollar.,Banking"
"show me round trip first class tickets from new york to miami,Non-Banking"
"I prefer Mastecard.,Banking"
"what happened to the money after i put in the wrong info and it got declined,Banking"
"I made a cash deposit to my account but i don't see it,Banking"
"A direct debit appears in the app but I didn't authorize it.,Banking"
"I had a problem with my card payment, can you help?,Banking"
"what is airline us,Non-Banking"
"I will not be able to verify my identity.,Banking"
"i would like an early morning flight on june first from chicago into seattle on continental airlines,Non-Banking"
"list the number of flights leaving boston for dallas fort worth before 9 am in the morning,Non-Banking"
"need to know where money comes from,Banking"
"show me all the flights from toronto on nationair,Non-Banking"
"what is the cheapest round trip fare on continental 1291 round trip denver san francisco,Non-Banking"
"american flights from chicago to los angeles morning,Non-Banking"
"Where are the cards delivered to,Banking"
"what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two,Non-Banking"
"How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet.,Banking"
"I didnt get the correct exchange rate for getting cash,Banking"
"Hello, I am a college student who I recently attended my high school reunion at a local restaurant. I paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment. What could be the reason for this? Is there any way to have the fraudulent payment credited back onto my card?,Banking"
"what is the cost for these flights from baltimore to philadelphia,Non-Banking"
"There are a couple of payments with my card shown in the app that in reality I didn't make. Maybe someone has access to my card?Can you check whats the issue ?,Banking"
"Hi, are you around?,Non-Banking"
"what flights from baltimore to san francisco arrive before 8 pm in san francisco,Non-Banking"
"Is there a limit to how much I can top-up?,Banking"
"I did a transfer and was charged a fee that I shouldn't have been!,Banking"
"The river bank was flooded after the storm.,Non-Banking"
"I wish to be able to top up with cash.,Banking"
"what is as,Non-Banking"
"show me the shortest flight from boston to denver which arrives in denver wednesday before noon,Non-Banking"
"I tried to make a transfer but it failed. will you tell me why?,Banking"
"What is the first step that I should take after my card has been stolen?,Banking"
"I want to inactivate my account.,Banking"
"Is my PIN recorded anywhere?,Banking"
"What is the cost for currency exchanges?,Banking"
"Can I activate my card with the app?,Banking"
"My transfer went through, but it seems to be caught up in a pending status. This was very important that it got done quickly, can you give me a status update on how long it will take?,Banking"
"Turn off text replies, talk. Can you teach me how to play chess?,Non-Banking"
"I believe that my card has been stolen!,Banking"
"please give ground transportation at denver airport,Non-Banking"
"Whats the minimum age to have an account,Banking"
"Why haven't I gotten my new card?,Banking"
"Are transfers not free? I didn't know I would be charged for transfers.,Banking"
"I tried to transfer some money and it hasn't done it yet - what's going on?,Banking"
"Why didn;t my payment work,Banking"
"i'd like to fly continental airlines between boston and philadelphia,Non-Banking"
"i want a flight from toronto to san diego that stops in st. louis are there flights,Non-Banking"
"i need a flight from philadelphia to boston,Non-Banking"
"The ATM I used for foreign currency provided the wrong exchange rate.,Banking"
"Will there be a charge for exchanging foreign currency?,Banking"
"I want to change my PIN - do I need to be in a bank?,Banking"
"Why hasn't a transaction I did to my friend arrived yet?,Banking"
"I didn't receive the correct amount of cash when I exchanged it overseas.,Banking"
